name,category,latitude,longitude,rating,reviewCount,address,description,website,phone,googleMapsUrl,mainImageURL,galleryImage1,galleryImage2,galleryImage3,galleryImage4
Phong Nha - Ke Bang National Park,,17.477679,106.1340395,4.7,726,"Quảng Bình, Vietnam",,https://phongnhakebang.vn/,0232 3677 021,https://maps.google.com/?cid=6718044823621621936,https://lh3.googleusercontent.com/place-photos/AJnk2cxuv2Eo_ud3ztHK4gTn3ynt8YNcFL7gwLkvPMMGtcVEbqTW0cdI7EUcThw-_vOrR7dhie4wt9i90vhJX-gPZL-iv3VA51MedDTfEl80pWvfEsiW2W7CKWbw_PK1nttAtkktLI17fF0_uO7Csbs=s1600-w1200,,,,
Phong Nha Cave,,17.5816795,106.283462,4.7,1551,"Vườn quốc gia, Phong Nha, Bố Trạch, Quảng Bình, Vietnam",,http://ticketdulich.com/paradise-cave,,https://maps.google.com/?cid=4082488389014196436,https://lh3.googleusercontent.com/place-photos/AJnk2czt6NKQuaGb-5IcI-GhoQY-26zaEdYuRWi0vgx9rplfa-fP4wgb-TpL2EjNUz_kLwpSD9WwFzqs4P0gpcKll5eK_OnyFZXfqT9Ojq7gXVjKZFmicRs-SEYT5ISdDVwHZeWUPrB-cX0vNZthXQ=s1600-w1200,,,,
Green Riverside Cosy Home,,17.6023835,106.2984453,4.8,764,"ĐT20, Sơn Trạch, Bố Trạch, Quảng Bình 311860, Vietnam",,http://www.greenriverphongnha.com/,0778 508 898,https://maps.google.com/?cid=8328275020982795072,https://lh3.googleusercontent.com/places/ANXAkqFOpC7_Smec5rpObI3akA4vmJyLY8xk7fTBTBX8THmxGpqCZ8Y3i27boItT1v1BWAVjoZnSbAiCpXHrFfSOv4ULwTMFk55dhmA=s1600-w1200,,,,
Greenfield Ecostay,,17.6220277,106.3528582,5,117,"Hưng Trạch, Bố Trạch District, Quảng Bình, Vietnam",,https://greenfieldecostayphongnha.com/,0348 402 300,https://maps.google.com/?cid=11122885166971799810,https://lh3.googleusercontent.com/places/ANXAkqFVdXKfkOWmJGI_vDSuvGd6GKKQzx_sQh6pFvJANKfu6vB2LED_goUwHAilGvc_gVpFR09ir1BLiweJBFMXCa82jWsnaNI--U4=s1600-w1200,,,,
Ha Linh Restaurant,,17.5802889,106.2543157,3.4,73,"H7J3+4P8, QL15, Phúc Trạch, Bố Trạch, Quảng Bình, Vietnam",,,0915 932 400,https://maps.google.com/?cid=8812351073404613553,https://lh3.googleusercontent.com/place-photos/AJnk2czrre2gdD3xdFQ2_IMNheTVZNrqyOVOWFqLjUs20xG-dmSd95etkLcxzoheg-J_tGCXxia6Rz7cx4g9GkgQLvOEudC2A585yuFFTctbK3mEy5d001aU7MieGYIyZJ4rzj_Dvfoftlnfgg-5WA=s1600-w1200,,,,
Phong Nha Cave,,17.5816795,106.283462,4.7,1551,"Vườn quốc gia, Phong Nha, Bố Trạch, Quảng Bình, Vietnam",,http://ticketdulich.com/paradise-cave,,https://maps.google.com/?cid=4082488389014196436,https://lh3.googleusercontent.com/place-photos/AJnk2czt6NKQuaGb-5IcI-GhoQY-26zaEdYuRWi0vgx9rplfa-fP4wgb-TpL2EjNUz_kLwpSD9WwFzqs4P0gpcKll5eK_OnyFZXfqT9Ojq7gXVjKZFmicRs-SEYT5ISdDVwHZeWUPrB-cX0vNZthXQ=s1600-w1200,,,,
Homestay Hùng Liên,,17.771519,106.0420071,,,"Q2CR+JR2, Xóm Thượng, Minh Hóa, Quảng Bình, Vietnam",,,,https://maps.google.com/?cid=6409832867939266034,,,,,
Regal Collection House,,17.4572125,106.6451916,4.8,228,"Đường Võ Nguyên Giáp, Bảo Ninh, Đồng Hới, Quảng Bình 47000, Vietnam",,http://regalhotelsresorts.com/,0232 7300 068,https://maps.google.com/?cid=8298042253759738929,https://lh3.googleusercontent.com/place-photos/AJnk2cw6K-zP39Tyub0yXSvP6kIyYSYG1BA3Z7JU4Gk0IaaoPgs1F3V4Nsb9ZnyfBS8Boxeqokn3IJQhCS0SXMU96XOtDqDrI52pSs426XJZQecj4K5476HvEWciXgM1QNpwnr5jg3iwomUpdSmple8=s1600-w1200,,,,
Jungle Boss Trekking Tours Headquarters,,17.6157282,106.3239998,4.8,606,"Thôn, Cù Lạc 1, Bố Trạch, Quảng Bình 511860, Vietnam",,http://www.junglebosstours.com/,0917 800 805,https://maps.google.com/?cid=8465711214162502801,https://lh3.googleusercontent.com/place-photos/AJnk2cx5LzUtYTz6ibh46HvU8_eNZPn3-u1Ab6TAMUGMFnDfi8irLu6p6fgCteYQwOyC4mOVTq_2NZPCiAUgYrvAUGxhNVXKT9hm3c5vusI85hcpFNNPOhOPNb04vUULJkdOWIoYEuNQzTPa9Fs46fHw-MNr-w=s1600-w1200,,,,
Khách sạn Trung Trầm,,17.4584164,106.6430496,4.7,27,"27-29 Hoàng Đạo Thuý, Bảo Ninh, Đồng Hới, Quảng Bình, Vietnam",,,0357 370 886,https://maps.google.com/?cid=5724090445876696250,https://lh3.googleusercontent.com/places/ANXAkqF_1mtkWUcgSiMRooChZf6b-OjpOWlRQSOa2-CvzgG3OV3UXVkgpcwnasHaQkTDY9dWuUySAAr40T5DPlQSpFfxvOuZBXd6sB4=s1600-w1200,,,,
Lena Homestay & Villa,,17.4771215,106.621677,4.6,31,"110 Dương Văn An, Đồng Mỹ, Đồng Hới, Quảng Bình, Vietnam",,,0858 515 403,https://maps.google.com/?cid=8033102026440291676,https://lh3.googleusercontent.com/places/ANXAkqEC2fMWh-iqhxDL3Q6jqb7-Dcjr0bZWlOSZ3R2Yamhg5oM0bB64XFryb6umPKHvZZMloV9IlVQDem6SasLvxVpY1FB8TykfByU=s1600-w1200,,,,
Lotus Restaurant - Phong Nha,,17.6189677,106.338016,5,361,"Cù Lạc 1, Bố Trạch District, Quảng Bình, Vietnam",,,0854 974 662,https://maps.google.com/?cid=2298940504588754914,https://lh3.googleusercontent.com/places/ANXAkqEER4GxUrpTXXb5B7aNWJB_dE1Os6eWjM-KL9bqRv7jXF-4Sit6yHW52STybAPk9Wedw-GXaiSZtR7a_IYzPVgXXlj4zED9zwU=s1600-w1200,,,,
Phong Nha - Ke Bang National Park,,17.477679,106.1340395,4.7,726,"Quảng Bình, Vietnam",,https://phongnhakebang.vn/,0232 3677 021,https://maps.google.com/?cid=6718044823621621936,https://lh3.googleusercontent.com/place-photos/AJnk2cxuv2Eo_ud3ztHK4gTn3ynt8YNcFL7gwLkvPMMGtcVEbqTW0cdI7EUcThw-_vOrR7dhie4wt9i90vhJX-gPZL-iv3VA51MedDTfEl80pWvfEsiW2W7CKWbw_PK1nttAtkktLI17fF0_uO7Csbs=s1600-w1200,,,,
Manli Resort Quảng Bình,,17.5090452,106.6144987,3.9,273,"379 Trương Pháp, Quang Phú, Đồng Hới, Quảng Bình, Vietnam",,https://manliresort.com/,0232 3868 668,https://maps.google.com/?cid=7409327556123176470,https://lh3.googleusercontent.com/places/ANXAkqHx_OhZ23WdrvdZ1QjeAeFiIkPIc0ynNzaETcVgMlu9ehIhKYrKkVZ5yFnfh_qW3Vz6ncN66Tu9izEEpzfuFZl96yHWEUG7k64=s1600-w1200,,,,
Meliá Vinpearl Quang Binh,,17.465716,106.626567,4.9,2308,"Quách Xuân Kỳ, Đồng Hải, Đồng Hới, Quảng Bình 47000, Vietnam",,https://www.melia.com/en/hotels/vietnam/quang-binh/melia-vinpearl-quang-binh?utm_campaign=google&utm_content=5766&utm_medium=organic&utm_source=directories,0232 3900 888,https://maps.google.com/?cid=6882746981939981412,https://lh3.googleusercontent.com/places/ANXAkqGS-DuZ2PdAJejnjmU-BuDpHd-j8iD_wLd0wyTlxRqzwxPeJwtC2PWjF-ZNaIqHxUlAU2en9ybrLqK6XNr5QfCPP8mXCvkcRLA=s1600-w1200,,,,
Monkey Bridge - Cuong Rung Farm,,17.5860329,106.3481038,4.9,1033,"Bồng Lai, Bố Trạch, Quảng Bình, Vietnam",,,0969 013 681,https://maps.google.com/?cid=17524224305121357130,https://lh3.googleusercontent.com/places/ANXAkqHAwz4DenKHCGQKC8lbSol2A2c-k3JU8rJ3ytAF8pzntsNpXrwyNjdu-gNmb8C2t_uBdOK_UUx3SsV7-dmnpOSmEZnLycovjbo=s1600-w1200,,,,
Mê Công Cafe,,17.6193799,106.3460054,4.9,26,"Unnamed Road, J89W+QC2, Hưng Trạch, Bố Trạch, Quảng Bình, Vietnam",,,,https://maps.google.com/?cid=2556838990526503954,https://lh3.googleusercontent.com/place-photos/AJnk2czfJcgCN6vyQcwSGTScKpSpAWysG3X8FJWe0CxypEIQhrhs1AZa8NDxucRvu--VetXwSGoFK9kkVr77LMI8zq_CPxSjKu1FQk8DmQ4i5OE3EO4OFNd6FTqnC9gFJQBmS_DV8sbXaVio9W6NSg=s1600-w1200,,,,
Mộc Hoa Viên/Restaurant,,17.5818419,106.2550221,4.9,57,"H7J4+P2J Moc Hoa Viên Chày Lập, Phúc Trạch, Bố Trạch, Quảng Bình, Vietnam",,,0914 882 993,https://maps.google.com/?cid=14651849794642463668,https://lh3.googleusercontent.com/place-photos/AJnk2cx3gWj2lqlYuJXkSPSrvJZzekE08WZe-5SxlY3Qt2fVK_oTnExtTKDxGDfxoxFTGrkfSsgms8DzhJoF47-xydiC9RuPWC20QWTlby-mXFb0b5lj8pKOFBI35L183vBoPJon7c2SXuQSTbcTTQ=s1600-w1200,,,,
PHONG NHA FAMILY RESTAURANT (NHÀ HÀNG GIA ĐÌNH VIỆT NAM),,17.6134894,106.3161763,4.8,513,"Thôn 1 Cù Lạc, Phong NHA, Bố Trạch, Quảng Bình 511860, Vietnam",,,0915 380 645,https://maps.google.com/?cid=7256420068837129236,https://lh3.googleusercontent.com/places/ANXAkqFpG2BH09yo2iZhXR2Dw05-gV5sGlvqHO8DI3fB47Gkr-75TN6P2YcIK_zHontt5Am5dKBdu4PAokzoUZ96niyx2RVJ6TVLNg=s1600-w1200,,,,
Phong Nha - Ke Bang National Park,,17.477679,106.1340395,4.7,726,"Quảng Bình, Vietnam",,https://phongnhakebang.vn/,0232 3677 021,https://maps.google.com/?cid=6718044823621621936,https://lh3.googleusercontent.com/place-photos/AJnk2cxuv2Eo_ud3ztHK4gTn3ynt8YNcFL7gwLkvPMMGtcVEbqTW0cdI7EUcThw-_vOrR7dhie4wt9i90vhJX-gPZL-iv3VA51MedDTfEl80pWvfEsiW2W7CKWbw_PK1nttAtkktLI17fF0_uO7Csbs=s1600-w1200,,,,
Phong Nha Dawn Homestay,,17.6151993,106.3181298,4.9,197,"Cù Lạc 1, Bố Trạch District, Quảng Bình, Vietnam",,https://www.booking.com/Share-fE96l4,0971 347 995,https://maps.google.com/?cid=1813540228113967766,https://lh3.googleusercontent.com/places/ANXAkqHR_l_C1O9-EJkWruykuTreX26Zox-fUv4yNqTnog3attKCLnD-V2wNq9D0u8-V6AITun6L93zTSpms7iY5OvQcLLIi9G1Rvxk=s1600-w1200,,,,
Phong nha funky beach,,17.6237406,106.351996,4.8,122,"Cổ Giang, Bố Trạch, Quảng Bình, Vietnam",,,0877 712 233,https://maps.google.com/?cid=9636986211738415052,https://lh3.googleusercontent.com/place-photos/AJnk2cy6XKYTSJRNd9WfD1xhwCSEzGHBGQt8-s9l5ia61C6pyPsUjdeyLhdsSHBcxUarvJHfXCAwhFFy5wEZKgsxWiL_f1vOB2ULwIJNOToBpa5PWk7r0VvO_pfNEcEQt_zxLYyrq_jLqnRdItXfeA=s1600-w1200,,,,
Phong Nha Palafita Bungalow,,17.6115316,106.3486369,4.7,144,"Cổ Giang, Phong NHA, Bố Trạch, Quảng Bình, Vietnam",,,0382 479 313,https://maps.google.com/?cid=9351528641864651888,https://lh3.googleusercontent.com/places/ANXAkqEUXNW4QjL5rrGqp7xs_ZG3pqnsmplQTZH5oG7ONYk91Vr89efLyI9sdZ5HsPhIQnRQ78e3TgtVcmLgIECJ5WW8X77qiBF6mOY=s1600-w1024,,,,
Pub with cold beer,,17.5981598,106.3635864,4.5,294,"Hưng Trạch, Bố Trạch District, Quảng Bình, Vietnam",,,0397 428 778,https://maps.google.com/?cid=2760876850509986667,https://lh3.googleusercontent.com/place-photos/AJnk2cydI4kp0VEDGKqaJcn_rFZD7yHoNzyK7cTMq-NR6HNqzqYvJ4KPMCOC_9jd4ZECe3AJR3jgYbh7Q4D_4PbY37u2WwjeanVA6QDZPlBQjmhaE-20kxoAAYMB4MtTQ3I--4Ijp-wDJHUwQxkkJZc=s1600-w1200,https://lh3.googleusercontent.com/place-photos/AJnk2cxolL52yjeup7vGZTl1Voo7RpVds--JiY-M2Ny488kfO8tdVcFDwW_BEALuKdeiULlGHkwON48eWnv_Bken6DqJroMlT5YX9ebhgwkRoCwZNf5wCvajalfd3Afn9VVWA6DulI8kumoBM4TA=s1600-w1200,https://lh3.googleusercontent.com/place-photos/AJnk2cyq_d68VfebDsx1-EdpaSKEWCzSO4UHSopb9ANKgXTmud1N-dXRYa2zC9ntJPtHvgYJm6ui0QRYy-5RT0l2E1sak33RvG5co1x9pzjPI2UihKYBOQyY_wR6d8HFCYdUYMjQcJbyqmjXvveV-qs=s1600-w1200,https://lh3.googleusercontent.com/place-photos/AJnk2cxYLcJjp_5Bjsv5G505La6rrjK1X3C4o4rcML0Ew1iyGRDge1VZ0XV3jbeAbS-Kysg4PC46H7o_vKYbsTZePhdf5COmSHYT0i2Pvsp0VVyVVh6pcZD8ziuBqfp5a-JC2kpoOCDGiUVM0FyVk2sD4AmTcQ=s1600-w1200,https://lh3.googleusercontent.com/place-photos/AJnk2cyz26GVStkSImEwq-sPZW0Dbqu6E7_9FgRiuSLiS1UjEuNh9nq4fMTNmsaP5af4c5wMaNDpTvQmvoclftIA6hP68220OFAATY-FcYgAzE4snsZtisaBplqwdOpY4CyKcxz8uytWiQ_nfJf1VR0bFWK_YQ=s1600-w1200
Quán Ăn 86 Tâm Thịnh Popular restaurant,,17.5851,106.256174,4.7,14,"H7M4+WFQ, xóm Chày, Bố Trạch, Quảng Bình, Vietnam",,,0762 925 376,https://maps.google.com/?cid=571205753668018593,https://lh3.googleusercontent.com/places/ANXAkqEjPbRE1zlL7ySdxwz9XEVw_lSe80bgBjDxTibekL6gXXIv3SVu2Cg72Hpz78YrCfneM1gB98jr_72n03l_jzU7FvUHgXYqxjA=s1600-w1200,,,,
Regal Collection House,,17.4572125,106.6451916,4.8,228,"Đường Võ Nguyên Giáp, Bảo Ninh, Đồng Hới, Quảng Bình 47000, Vietnam",,http://regalhotelsresorts.com/,0232 7300 068,https://maps.google.com/?cid=8298042253759738929,https://lh3.googleusercontent.com/place-photos/AJnk2cw6K-zP39Tyub0yXSvP6kIyYSYG1BA3Z7JU4Gk0IaaoPgs1F3V4Nsb9ZnyfBS8Boxeqokn3IJQhCS0SXMU96XOtDqDrI52pSs426XJZQecj4K5476HvEWciXgM1QNpwnr5jg3iwomUpdSmple8=s1600-w1200,,,,
RiverView HomeStay,,17.4839228,106.6261486,4.4,141,"Ngõ 93 Trương Pháp, Bắc Lý, Đồng Hới, Quảng Bình, Vietnam",,https://www.booking.com/Share-bE7a23,0326 716 342,https://maps.google.com/?cid=12692676781134367059,https://lh3.googleusercontent.com/places/ANXAkqHB55KPl8gdWcLW39QLSjhz0PQaij6KPGlYYXzN-ckznbZuZ-oJ0PVPRRUbk2WRKDqlA395HaRuYRxAAOV1li4MnwMXUEpc9MI=s1600-w1200,,,,
Phong Nha - Ke Bang National Park,,17.477679,106.1340395,4.7,726,"Quảng Bình, Vietnam",,https://phongnhakebang.vn/,0232 3677 021,https://maps.google.com/?cid=6718044823621621936,https://lh3.googleusercontent.com/place-photos/AJnk2cxuv2Eo_ud3ztHK4gTn3ynt8YNcFL7gwLkvPMMGtcVEbqTW0cdI7EUcThw-_vOrR7dhie4wt9i90vhJX-gPZL-iv3VA51MedDTfEl80pWvfEsiW2W7CKWbw_PK1nttAtkktLI17fF0_uO7Csbs=s1600-w1200,,,,
Sea Star Resort Quang Binh,,17.5297158,106.5969419,4,796,"Nhân Trạch, Bố Trạch District, Quảng Bình 510000, Vietnam",,http://www.seastarresort.vn/,0886 496 688,https://maps.google.com/?cid=4123781420730335505,https://lh3.googleusercontent.com/place-photos/AJnk2cxuv2Eo_ud3ztHK4gTn3ynt8YNcFL7gwLkvPMMGtcVEbqTW0cdI7EUcThw-_vOrR7dhie4wt9i90vhJX-gPZL-iv3VA51MedDTfEl80pWvfEsiW2W7CKWbw_PK1nttAtkktLI17fF0_uO7Csbs=s1600-w1200,,,,
Sealand homestay,,17.471697,106.6345827,4.8,140,"Đồng Dương, Bảo Ninh, Đồng Hới, Quảng Bình, Vietnam",,http://thuexemayquangbinh.com/,0978 211 325,https://maps.google.com/?cid=17460875367136635567,https://lh3.googleusercontent.com/places/ANXAkqFNVJkCbnXN5tLHqD8HDO8OS_pzuNaw0AHxx-2dclYsy-aFi8-wV3yv41NrEJ3RId1wu4ooYkflIfEL4olgDaXN0F9N9KPAemY=s1600-w924,,,,
Sun Spa Resort,,17.4802612,106.6338305,4.3,1776,"FJJM+3FX, Võ Nguyên Giáp, Mỹ Cảnh, Đồng Hới, Quảng Bình, Vietnam",,https://sunsparesortvietnam.com/Rooms-Rates.html,0232 3842 999,https://maps.google.com/?cid=6795059894082491744,https://lh3.googleusercontent.com/places/ANXAkqFdeSv-dr9X4N0b0nkwLwkk638Pbc6jS9r6lk7fo8c_eqB9LsTrzKf4Nfm1WKMBhTNdG4snOK9ZweAnev0PeHhmCmsbbZVy8V4=s1600-w1200,,,,
Sunflower Nhật Lệ,,17.5016847,106.6208502,4.1,182,"Trương Pháp, Quang Phú, Đồng Hới, Quảng Bình 510000, Vietnam",,http://fb.me/sunflowernhatle,0843 242 628,https://maps.google.com/?cid=1697132515287277009,https://lh3.googleusercontent.com/place-photos/AJnk2czELw0m3WteBLqc9xTEAA4tOWZ3Y5sMwBqBkHMRWZitjwZLmSNdKBF7lN3W9L__wqRppqaCBhjA1X0o8MMbG-6ivc2xqtYCRweRFbsFasgIyCQVMVwrC5tU7SdcJJF6PFkDipEbPLcWCc38=s1600-w1200,,,,
SUSHI CÔ MO,,17.4734987,106.6212358,4.5,36,"14A Lý Thường Kiệt, Phường Hải Thịnh, Đồng Hới, Quảng Bình 47107, Vietnam",,,0855 141 789,https://maps.google.com/?cid=970507089124918086,https://lh3.googleusercontent.com/places/ANXAkqGj0xVbHrmh0Bz1q7CutnlAbnjUyYs_vNaMLj1sW2-vEcwOgAYU9Iu0ZcdS7YnzOQWYg6qu_Dd2Uquq9PlKifXdPr5oJ2J5tYw=s1600-w1200,,,,
Thai Binh Street Food and Drink,,17.4771658,106.6235416,3.8,12,"54 Nguyễn Du, Đồng Hải, Đồng Hới, Quảng Bình, Vietnam",,,0232 3868 689,https://maps.google.com/?cid=1183478032703895153,https://lh3.googleusercontent.com/place-photos/AJnk2cy3ys4ao6YcaYgeG2647xYNXJo8ezp_Q-KP1hZTPSB-ypK9-9dKUjtFLx9D0EhxbgfFgAgOxDFn4_u3kjuSac5oNFO9iIKCZJBm-SSNFa4uOzZQVNfd3V6R8RerLQo64aAph_xDTP0AtqtH1RI=s1600-w1200,,,,
Thai Hoang Villa,,17.4539312,106.6454068,5,32,"OTM 15.2, KĐT, Bảo Ninh, Đồng Hới, Quảng Bình 510000, Vietnam",,,0888 797 973,https://maps.google.com/?cid=12694500366329080233,https://lh3.googleusercontent.com/places/ANXAkqG7sOiBO5jugwZcjofp5iUQp1KEkWI-4B7f22fzQVxiw9RYZlJfKJ5u2rWXruqhsdDein0s2oLYGyI6Uo8UpCEieNwwVgPCKc8=s1600-w1200,,,,
