name,category,subcategory,description,googleMapsUrl,latitude,longitude,address,phone,email,website,hours,imageUrl,gallery,tags,priceRange,amenities,bookingType,bookingComUrl,agodaUrl,affiliateLink,directBookingContact,enquiryFormEnabled,featuredText,rating,reviewCount,openingHours,isActive,isPremium,isVerified,isRecommended,createdAt,updatedAt
Nava Hotel & Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nem Lụi - Bún Thịt Nướng LyLy 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Beach - OVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newlife Homestay( thiện tâm homestay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nguyen Shack Retreat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà hàng Bình Thiên Đường,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà hàng Chang My,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà hàng Khánh Thuỷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà Hàng Ngà Danh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà Hàng Phương Nam II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà Hàng Vườn Anh Tuấn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà nghỉ Đồi Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà vườn Thuyền Trưởng (The Captain's Garden House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninh Cottage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxalis Adventure Tours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phong Nha - Ke Bang National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phong Nha Botanic Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phong Nha Dawn Homestay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phong Nha Escape Bungalow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phong Nha Farmstay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phong nha funky beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phong Nha Motorbike tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phong Nha Palafita Bungalow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pub with cold beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quán Ăn 86 Tâm Thịnh Popular restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regal Collection House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiverView HomeStay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Star Resort Quang Binh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealand homestay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Spa Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunflower Nhật Lệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUSHI CÔ MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tân Hóa Rural Homestay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Binh Street Food and Drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Hoang Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Duck Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Duck Tang Farm Quang Binh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thien Truc Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tú Làn Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TuTu's Homestay Phong Nha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voco Quang Binh Resort by IHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildlife and Jungle Adventure - ECOFOOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyndham Quang Binh Golf & Beach Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
