name,description,address,phone,email,website,latitude,longitude,image_url,gallery,tags,rating,review_count,google_maps_url,categories,booking_type,affiliate_link
Bún bò Huế (KINH THÀNH),"Bún bò Huế (Kinh Thành) is a local eatery in Đồng Hới celebrated for its richly flavored bowl of bún bò Huế made in the style of Huế. The broth is deeply savory with fragrant lemongrass and shrimp paste, paired with thick vermicelli noodles, tender beef, blood jelly, and pork knuckles, finished with herbs, banana blossom, and a squeeze of lime. This spot delivers a genuine Hue-style experience right in Quảng Bình, perfect for breakfast or a hearty midday meal. Expect a bustling, friendly vibe with locals gathering for this well-loved regional specialty.",J864+CWM,+84 775 359 035,,,17.6110797,106.307289,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQf078c7u_NV-vmkSYXCbZlHUREvhx6ZLT2qPnPLD3oKtmeV2WsWfzgOhLfQaUM5DrETIcNJMhsBVZ37ldc7DWYaQWPxOVoYL-f5g0I5KtKcjJcFJyL9GGtCHxQmAQ7cePRL3t=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrMZDpqZv3S67sY8PJ9p4yCqF7HB_oGShL3jqWwpfqYbWJl6uLQB6MFUV8J2adRwdYE3MI_QcMNQZigj5XU6b5bcUicIT3fnwVugWjgYgq-QwziojeL0gKlQSfqPWhFnTUWzP3y=w1920-h1080-k-no,,5,13,https://maps.app.goo.gl/8ge7977sCvK6R9nr6,Food & Drink,none,
Casual beer restaurant,"Quán Nhậu 75 (Phú Trọng Quán) is a popular casual beer restaurant located at number 75 Bạch Đằng Street in Đồng Hới. It’s known for its budget-friendly, laid-back setting—ideal for enjoying cold drinks and hearty shared plates with friends or families. The menu features a variety of grilled meats, fresh seafood, and local favorites prepared simply and deliciously. With generous portions, friendly service, and a lively local feel, it’s a favorite spot to unwind after sightseeing or a day of exploring.","H7V5+64C, Phúc Trạch, Bố Trạch, Quảng Bình, Vietnam",,,,17.59330936,106.257795,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQyukllpktEw3MyGIxeJLMJGt2lzUCfYEv6zVeod1l96rhJEnLpbZ8GnDaT5po0AF9cOH1n9497acK_T4zqV_YYONq9NrTeaHriySIbtyZAf-FQT_licmjNmxyEHfKM5gsFcRxgA,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrxlyF-qBdfQPVyCoy_MbCD4rjnaydelFCQlzCx_SL8cZPVgHPAPiUzURyrhHS5OCyrU2jgO0P_couzuIG0Xt3sFt_GKAnSHWFDuR424skv6cIfpKxBbGwiy3uY4EsHUIRLSXQ7,,3.3,3,https://maps.app.goo.gl/6WShGkuCxnvJj2zu5,Food & Drink,none,
Celina Peninsula Resort- Resort đẹp Quảng Bình,"Celina Peninsula Resort sits on the beautiful Bao Ninh Peninsula, surrounded by the East Sea on one side and the peaceful Nhat Le River on the other. This upscale beachfront resort offers spacious rooms and bungalows, many with views of the ocean, pool, or lush gardens. Guests can enjoy a private beach, two outdoor pools, a spa, sauna, fitness center, and activities like cycling, tennis, and yoga. With excellent dining, family‑friendly facilities, and a location just a few minutes from Dong Hoi, it’s the perfect base for combining Phong Nha exploration with a relaxing beach escape.",Võ Nguyên Giáp,+84 232 3900 999,,http://celinaresort.com/,17.4604338,106.6446597,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noR2BF0Gjxlk_VDPmQX-izx1nvxJY69ZmXXE0mDmWvcO7FjXeqNv2sL3s_NAZ6JGGxxlP3PMMUaD379k5U__vSDoMERd2tfTaPfvR1vJOleXU5lNpJr_YkIC_OnxwGSsLyFZiXj=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipOtZIPDl5imdL9W1kAbS7T3sepqNJAVNKlWzJv5=w1920-h1080-k-no,,4.5,919,https://maps.app.goo.gl/6dpHaHMBqA5cqDJa7,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=30717034
Central Backpackers Hostel - Phong Nha,"Central Backpackers Hostel – Phong Nha is a lively, social hostel just outside the town center, perfectly placed for exploring the national park and nearby attractions. It offers a fun atmosphere with a pool, garden, bar, and common spaces ideal for meeting other travelers. Accommodation includes clean dorms and private rooms, all with air‑conditioning and comfortable beds. With friendly staff, free breakfast, and regular events like BBQ nights and happy hours, it’s a top choice for budget travelers seeking both adventure and community.","Xuân Tiến, Phong NHA, Bố Trạch, Quảng Bình 470000",+84 232 6536 868,,https://centralbackpackersphongnha.com/,17.6091221,106.313292,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq2wYZOstY3CU-_PoVxb9lOp75B0MbLWxXWyLstQssLpD9e5KRTp1eK07f0iE4wZPhseLr_Y3CaIJX_vaAvbzOCeifHQTmkJwzCOm01dQWNVjl1NmiqYCm4s3nsTB5QpvSXKA18Mw=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipNjHmuDgzujvtms7pmKg_4SNBWdsTWcxJqnxySD=w1920-h1080-k-no,,4.5,451,https://maps.app.goo.gl/T2Q1Z3HiuxtFNRGq6,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=7427814
Chày Lập Farmstay,"Relaxed bungalows offering free Wi-Fi, plus an outdoor pool, bike rentals & a restaurant & a bar.",,+84 931 357 677,,https://chaylapfarmstay.com/,17.6017277,106.2546176,https://lh3.googleusercontent.com/p/AF1QipMUW5baxK9xRRp2Ie9LVCowpBY05MDFpivCv_Br=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipMBoRZtCAv7scs2S5jWmH-kwkM7Nvu7BzBfC9fz=w1920-h1080-k-no,,4.4,696,https://maps.app.goo.gl/cDKz7X9xM61qPcjX7,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=55664261
Coffee Lyly 89,"Coffee Lyly 89 is a stylish and cozy café located in the heart of Phong Nha town, perfect for relaxing with a drink between adventures. The interior feels warm and inviting, while outdoor seating offers a pleasant spot to enjoy fresh air and local surroundings. Their menu includes a variety of aromatic coffees, teas, and refreshing beverages, all served in a friendly and welcoming atmosphere. Whether you're seeking a quiet morning start or a peaceful afternoon break, this café is a delightful place to unwind and recharge.","Thôn chày lập, Phúc Trạch, Bố Trạch, Quảng Bình",,,,17.5819114,106.2547529,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrt51SQYYeZrWLddOgV31XM_ubQbW8fYQo5mx7gpgN9qNxIF0n-ZpoGA2AjXsG3KWi2Phn4LC8kO-qhvXHkjnjk3-VwS1rM7ED_Nec_v-jvBAZdonhZS0KGzhLcszrBnzmgMLhz=w1920-h1080-k-no,,,4.8,82,https://maps.app.goo.gl/YKLEN3rFKMfrtZKF7,Food & Drink,none,
Cối Xay Gió Homestay Quảng Bình,"Cối Xay Gió Homestay is a peaceful and charming getaway in Đồng Hới, just a short walk from Nhật Lệ Beach. The homestay offers bright, comfortable rooms ranging from dorms to private family suites, all equipped with air-conditioning and clean bathrooms. Guests can relax in the garden, enjoy the shared kitchen, or unwind with a coffee in the lounge. Friendly hosts, bike rentals, and a welcoming atmosphere make it a great base for exploring Phong Nha and the surrounding area.","Trung Bính, Dong Hoi, Quảng Bình 47000",+84 905 959 388,,https://www.facebook.com/coixaygiohomestaycoffee.quangbinh,17.460365,106.6384242,https://lh3.googleusercontent.com/p/AF1QipPq4z895T08A6npnYbcTu38ehvadH1uzJY9_8uJ=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipPRAb8HzPli52L7ziD7T6CETRpID_PCF6FHcTzQ=w1920-h1080-k-no,,4.4,21,https://maps.app.goo.gl/XsEiA3KDTttDkEgU7,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=5846471
Danh Lam Homestay(tân hoá.quảng bình),"Danh Lam Homestay is a charming community-style lodgings nestled in Tân Hóa village, about 70 km northwest of Phong Nha. Guests stay in thoughtfully designed homes—some built on stilts, others floating—to withstand seasonal flooding, offering both comfort and a unique cultural experience. Surrounded by limestone mountains, riverside views, and wide-open grasslands, the atmosphere is tranquil and immersive. Staying here gives you the chance to explore local culture firsthand, cycle through fields, paddle on the river, and connect with friendly people from the Nguồn community.","Thôn 1, Minh Hoá, Quảng Bình",+84 916 940 643,,,17.7713454,106.0393893,https://lh3.googleusercontent.com/p/AF1QipM0eIPVtYcQlIXhpWtMd7GyI2E5pzJ_BeBPsO98=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipON3dBIbyrxiqk2j5NQQIN2CJ2yE2ZMCCRpOT2e=w1920-h1080-k-no,,5,23,https://maps.app.goo.gl/J2zXTzHvqwSBGwAD9,Accommodation,none,
Dark Cave,"Dark Cave – Hang Tối is an exhilarating cave adventure located within Phong Nha–Kẻ Bàng National Park. This natural attraction spans over 5 km and includes both dry sections and an underground river that empties into the Chày River. Visitors start the day with a thrilling zipline across the river into the cave entrance, followed by exploring narrow, unlit passages with a headlamp, and floating through deep chocolate‑colored mud pools where you naturally float without sinking. The excursion typically ends with kayaking back across the peaceful river and riverbank jungle scenery. With its mix of caving, mud baths, zip-lining, and kayaking, Dark Cave is one of the most adventurous—and fun—day trips in the region.","Sơn Trạch, Bố Trạch District, Quảng Bình, Vietnam",,,https://phongnhatourism.com.vn/,17.57446154,106.2514133,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrTqN9w6byW2YPq-0QXhenPYnaJGBJEIDkTIpqffBE5P8agGNwuSpO8jPOARUtFNFGGEvBT_hnR7OoaFPuKrOF4mbu5v3pSONUfUIEUxf5eBv6HlpQ0H1yHYuty4LXD4c5IYDwB,,,4.3,96,https://maps.app.goo.gl/38cHoYsuMvu8ViWt9,Cave,none,
Dolphin Homestay,"Dolphin Homestay is a warm and welcoming guesthouse located on Nguyễn Du Street in Đồng Hới, right on the banks of the scenic Nhật Lệ River. Just minutes from the town center and close to the beach, it features six cozy rooms (including doubles, family, and dorm-style), and guests can enjoy a rooftop terrace with river views, as well as elegant pastel decor throughout.",42 Nguyễn Du,+84 985 668 563,,http://dolphinhomeqb.com/,17.4766416,106.6234009,https://lh3.googleusercontent.com/p/AF1QipP_JFAuc-Pt7WaUdrrKFBGYKzDFJ_hFMjkhbjTw=w1920-h1080-k-no,,,4.8,314,https://maps.app.goo.gl/gyExYVLJM4iS8yKE8,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=63536486
Dozy Hostel,"Dozy Hostel is a modern, capsule‑style hostel in Đồng Hới, just a short walk from Nhật Lệ River and the city center. It offers clean and comfortable capsule beds as well as private rooms, all designed with a focus on simplicity and efficiency. Guests appreciate the friendly staff, motorbike rental service, and help with arranging tours to Phong Nha. With its convenient location and relaxed atmosphere, it’s a great budget‑friendly choice for travelers.","29 Dương Văn An, Đồng Hải, Đồng Hới, Quảng Bình, Vietnam",,,,17.47551651,106.6220349,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npsgiyIAeCDzRdyPwsPiFd33DfhrlgwXFr21S_vD4I03v53Fis_8-E-w_PZdy2FgzjtLUa3wc85dIgN_9Vxr3Zz3zxsVrySFacRpw0WkOqgwhfmWtIKAZ1uEjAT7qH7MfMhiYYJ,,,4.4,27,https://maps.app.goo.gl/giCAX1DrJKhqBHep8,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=1194083
Duy Tân Resort Quảng Bình,"Duy Tân Hotel & Resort Quảng Bình is a modern 4-star beachfront property located on Võ Nguyên Giáp Street in Bảo Ninh, just steps from Nhật Lệ Beach. With 168 rooms ranging from deluxe doubles to ocean-view suites, many units feature balconies with views of the sea, pool, or tropical surroundings. Guests can cool off in the large outdoor pool or children’s pool, enjoy meals at multiple on-site restaurants, and relax in spa, sauna, or fitness facilities. With free Wi‑Fi, dedicated parking, 24‑hour service, and a private beach, the resort blends comfort and convenience—making it ideal for both families and travelers exploring Phong Nha’s natural wonders.","Bảo Ninh, Đồng Hới, Quảng Bình",+84 232 3686 696,,http://duytanhotel.com.vn/,17.4618638,106.6435951,https://lh3.googleusercontent.com/p/AF1QipPuOaDj1UGf69SOLE5NP7Ttd6EimP0sITQ8TTT8=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npj-C8_aADb4Jtx9HIwIQ1WjUSkER4g4kOXH6tXku9kD5MXVmP58mqyru6OA1fUQ1t_zFGSEb2u6pfVkD7L0-Un6gg0ZdiEQ1TX3N1Y1WEsp3Kt2tIIqkBqTr6rlWedXGRI4Gz9ZA=w1920-h1080-k-no,,4.1,336,https://maps.app.goo.gl/frLYa6PNsBdHPn5b8,Accommodation,affiliate,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1945129&hl=en-us&hid=31041275
East Hill - Phong Nha,"East Hill – Phong Nha is a rustic open‑air café & casual restaurant perched on a gentle hillside just outside Phong Nha town. With lush green gardens and flower-filled terraces overlooking rice plains and hills, it’s a dreamy spot to pause and enjoy the sunset. Try their signature grilled chicken or other simple Vietnamese dishes while swinging on a hammock or relaxing on wooden decks. This peaceful, photo‑friendly venue offers a true rural escape and a serene break between cave adventures or countryside treks.","Cầu Bùng, Cà Phê đồi",+84 948 953 925,,https://www.facebook.com/East-Hill-Phong-Nha-237868583268158,17.6180457,106.3647241,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqCx0Bw7P65-ia2W8e3wOcG-WWop669d_-SiOTakp_FSB7Kc7YXk6pwHD6Z8-vyi2a9GpyxwEDlNnZBP0g7Q1Ds3wBg-phUitzXYPFlDfGJM32-JikkONjfTWC-1qECt1-tBlsL=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4m-13iOhXvGr8jXhcIyUc_JaU6jLAP9vW3N4V5NYYK5PE2ZGfVqYneYy4A3qxk-L_VK_1wVINRUkLs3z6Ww5h8Hbg2EepEskQs2_2yAKG6UMmKBcFrWru_JEcmJL6RbeRzI0MTNG0Qr0=w1920-h1080-k-no,,4.5,296,https://maps.app.goo.gl/ZYynUtLRqdT2vbnf7,Accommodation,none,
Hang Én Cave,"Hang Én, also known as Swallow Cave, is one of the largest natural caves in the world, stretching nearly 1.6 km through a limestone mountain in Phong Nha–Kẻ Bàng National Park. Its enormous entrance, about 100 meters high and 170 meters wide, creates a dramatic gateway to Son Doong Cave. The journey to Hang Én includes a jungle trek, stream crossings, and visits to local villages before reaching the wide sandy riverbank inside the cave where camping takes place. With its stunning natural skylights, vast chambers, and adventurous approach, Hang Én is a breathtaking experience for fit travelers seeking an unforgettable cave expedition.","C7RR+FWR, 565, Tân Trạch, Bố Trạch, Quảng Bình, Vietnam",,,,17.4414402,106.2922632,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrkNS3xprcIESEw_ow5SaxHmcFHoXXYW5gzFxdDQAckrwKKnDGYwaG4H1vNzYnLCB4qeSGeBiyFF1aP--G6ZMLOmgYCpp4b-bDvfiYQrHfzW9sXSI9itS97YgIBVW5ylPJqycEc,,,4.7,26,https://maps.app.goo.gl/jQszfgJEBUk1LGuK6,Cave,none,
